size,N,prefill_ms,decode_ms,tax_steps,b_star_gbps,gap_vs_pcie
0.5B,128,37.835,4.9181,7.69,0.0416,300.69
0.5B,256,70.560,5.0167,14.07,0.0446,280.38
0.5B,512,138.324,5.8548,23.63,0.0455,274.83
0.5B,1024,279.976,5.4208,51.65,0.0449,278.13
0.5B,2048,594.849,5.6213,105.82,0.0423,295.46
0.5B,4096,1326.393,5.9114,224.38,0.0379,329.41
0.5B,8192,3181.213,6.6177,480.72,0.0316,395.03
1.5B,128,121.873,10.6609,11.43,0.0301,415.10
1.5B,256,240.966,10.7552,22.40,0.0305,410.36
1.5B,512,484.640,12.3273,39.31,0.0303,412.67
1.5B,1024,980.802,12.2673,79.95,0.0299,417.57
1.5B,2048,2068.043,12.8493,160.95,0.0284,440.23
1.5B,4096,4521.776,12.2078,370.40,0.0260,481.28
1.5B,8192,11969.089,15.2402,785.36,0.0196,636.98
3B,128,256.796,21.8497,11.75,0.0184,680.28
3B,256,498.060,19.1082,26.07,0.0189,659.70
3B,512,1006.579,19.2655,52.25,0.0188,666.63
3B,1024,2093.339,19.5318,107.18,0.0180,693.18
3B,2048,4248.225,21.7300,195.50,0.0178,703.37
3B,4096,11339.551,26.8240,422.74,0.0133,938.74
3B,8192,27719.926,29.4748,940.46,0.0109,1147.39
7B,128,621.526,42.5175,14.62,0.0118,1058.45
7B,256,1234.681,42.6749,28.93,0.0119,1051.32
7B,512,2538.830,46.7984,54.25,0.0116,1080.90
7B,1024,5469.966,46.5116,117.60,0.0107,1164.41
7B,2048,13414.769,48.7024,275.44,0.0088,1427.83
7B,4096,29816.993,50.4004,591.60,0.0079,1586.81
